ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
명,名,myeong,名,單字,의존명사,두 명,兩個人,★ 量詞一律配固有數詞：한 명、두 명。漢字「名」,量詞
분,位,bun,,單字,의존명사,세 분,三位,명 的敬稱形，對長輩或客人用。同形詞 분（分）＝分鐘,量詞
개,個,gae,個,單字,의존명사,사과 한 개,一顆蘋果,漢字「個」；最通用的物品量詞,量詞
마리,隻,mari,,單字,의존명사,고양이 두 마리,兩隻貓,固有語；所有動物都用它,量詞
잔,杯,jan,盞,單字,의존명사,커피 한 잔,一杯咖啡,漢字「盞」,量詞
병,瓶,byeong,甁,單字,의존명사,소주 한 병,一瓶燒酒,漢字「甁」。同音詞 병（病）,量詞
봉지,包,bongji,封紙,單字,의존명사,,,漢字「封紙」,量詞
장,張,jang,張,單字,의존명사,종이 한 장,一張紙,漢字「張」；紙、照片、票券,量詞
대,台,dae,臺,單字,의존명사,차 한 대,一台車,漢字「臺」；車輛與機器,量詞
벌,套,beol,,單字,의존명사,옷 한 벌,一套衣服,固有語；成套的衣物、餐具,量詞
송이,朵,songi,,單字,의존명사,장미 한 송이,一朵玫瑰,固有語,量詞
쪽,頁,jjok,,單字,의존명사,,,固有語；漢字詞說法是 면（面）或 페이지,量詞
쌍,雙,ssang,雙,單字,의존명사,,,漢字「雙」；成對的事物。筷子一般說 한 벌,量詞
그릇,碗,geureut,,單字,의존명사,밥 한 그릇,一碗飯,固有語；也當名詞用（碗、器皿）,量詞
캔,罐,kaen,,單字,의존명사,,,外來語 can,量詞
알,顆,al,,單字,의존명사,약 두 알,兩顆藥,固有語；藥丸、顆粒狀物,量詞
근,斤,geun,斤,單字,의존명사,,,★ 中韓差異：韓國的 근 是 600 公克（肉類）或 375 公克（蔬果），不是中文的 500 公克,量詞
자루,支,jaru,,單字,의존명사,,,固有語；筆、傘等長桿狀物,量詞
권,本,gwon,卷,單字,의존명사,책 세 권,三本書,漢字「卷」,量詞
