ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
해린,海林,word,명사,,haerin,NewJeans 成員 강해린 的活動名。韓國粉絲多直接叫 해린,해린이 제 최애예요.,海林是我的本命。,"追星,人物"
뉴진스,NewJeans,word,명사,,nyujinseu,團名。韓國人日常對話裡就直接說 뉴진스，不譯,뉴진스 신곡 들어 봤어요?,你聽過 NewJeans 的新歌了嗎？,追星
버니즈,Bunnies,word,명사,,beonijeu,NewJeans 官方粉絲名（bunny＋-s）。韓國粉絲自稱時常說 버니즈예요,저도 버니즈예요!,我也是 Bunnies！,追星
입덕하다,入坑,word,동사,,ipdeokhada,입（入）+ 덕후（宅）+ 하다。第一次成為某人的粉絲。脫粉是 탈덕하다,이 무대 보고 입덕했어요.,看了這個舞台就入坑了。,追星
직캠,直拍,word,명사,直cam,jikkaem,직접（直接）+ camera。只拍一位成員全程的影片，韓國粉絲文化核心,해린 직캠 진짜 미쳤어요.,海林的直拍真的太絕了。,追星
포카,小卡,word,명사,,poka,포토카드（photo card）的縮語。專輯附贈的成員卡，是收集與交換的主角,포카 모으고 있어요.,我在收集小卡。,"追星,購物"
팬싸,簽售會,word,명사,,paenssa,팬사인회（fan sign 會）的縮語。抽中才能去，粉絲圈天天在講。팬·사인 都是外來語，沒有漢字詞源,이번에는 팬싸에 꼭 가고 싶어요.,這次真的很想去簽售會。,追星
응원봉,應援棒,word,명사,應援棒,eungwonbong,漢字「應援棒」。演唱會用的手燈，每團造型不同,응원봉 들고 콘서트에 갔어요.,帶著應援棒去了演唱會。,"追星,物品"
짤,梗圖,word,명사,,jjal,固有語系的網路縮語，指圖片、截圖、迷因。짤방 的縮語,이 짤 너무 귀여워요.,這張圖太可愛了。,"追星,網路用語"
스밍,打歌串流,word,명사,,seuming,스트리밍（streaming）的縮語。粉絲為了打榜而重複播放,신곡 스밍 돌리고 있어요.,正在幫新歌衝串流。,"追星,網路用語"
미모,美貌,word,명사,美貌,mimo,漢字「美貌」。誇外貌時最常用的一個詞,오늘 미모 진짜 대박이에요.,今天的顏值真的太扯了。,"追星,情緒"
고양이상,貓系長相,word,명사,,goyangisang,고양이（貓）+ 상（相，漢字）。眼尾上揚、線條俐落的長相。另一種是 강아지상（狗系）,해린은 고양이상이라 시크해 보여요.,海林是貓系長相，看起來很酷。,"追星,個性"
청순하다,清純,word,형용사,淸純하다,cheongsunhada,漢字「淸純」。誇女生氣質乾淨、不濃豔時用,이번 콘셉트 진짜 청순해요.,這次的概念真的很清純。,"追星,情緒"
매력,魅力,word,명사,魅力,maeryeok,漢字「魅力」。매력적이다＝有魅力的；매력 터지다＝魅力爆棚,볼수록 매력 있어요.,越看越有魅力。,"情緒,個性"
사랑스럽다,惹人疼,word,형용사,,sarangseureopda,사랑（愛）+ -스럽다（帶有…感覺）。比 귀엽다 多一層「讓人想疼」,웃는 게 너무 사랑스러워요.,笑起來太惹人疼了。,情緒
실화냐,是真的假的,phrase,,,silhwanya,실화（實話，漢字）+ 냐。看到太誇張的東西時的驚嘆，不是真的在問。半語，只對朋友或自言自語用,이 비주얼 실화냐?,這顏值是真的假的？,"網路用語,回應"
대박,超猛,word,감탄사,,daebak,驚嘆詞，好壞事都能用。대박이다＝太厲害了,"와, 대박!",哇，太猛了！,"網路用語,回應"
미치다,瘋了／太絕,word,동사,,michida,原意「發瘋」，口語裡是最高級的稱讚：미쳤다＝太絕了。★ 只在朋友之間用，對長輩絕對不行,이번 무대 진짜 미쳤어요.,這次的舞台真的太絕了。,"網路用語,情緒"
역대급,史上最強,word,명사,歷代級,yeokdaegeup,漢字「歷代級」。指「歷來最高等級的」，稱讚時很常用,역대급 무대였어요.,是史上最強的舞台。,"網路用語,回應"
인생곡,人生歌曲,word,명사,人生曲,insaenggok,漢字「人生曲」。指對自己意義最大的那首歌。同構詞：인생캐（人生角色）、인생샷（人生美照）,이 노래가 제 인생곡이에요.,這首歌是我的人生歌曲。,"追星,情緒"
오늘도 예쁘네요.,今天也很美。,sentence,,,oneuldo yeppeuneyo,誇人時最安全好用的一句，加 -네요 有「發現並感嘆」的語氣,,,"追星,回應"
무대 잘 봤어요.,舞台看得很開心。,sentence,,,mudae jal bwasseoyo,看完表演後對表演者說的固定說法。잘 봤어요 字面是「好好地看了」，等於中文的「看得很享受」,,,"追星,回應"
항상 응원할게요.,我會一直支持你。,sentence,,,hangsang eungwonhalgeyo,粉絲留言最常見的一句。-ㄹ게요 表對聽者的承諾,,,"追星,回應"
덕분에 힘이 나요.,因為有你，我有力氣了。,sentence,,,deokbune himi nayo,덕분에＝多虧了。★ 反面是 때문에（因為…，多用於負面），兩個不能互換,,,"追星,回應"
노래 듣고 위로받았어요.,聽了歌得到了安慰。,sentence,,,norae deutgo wirobadasseoyo,위로받다＝受到安慰。받다（收到）接在漢字詞名詞後，構成被動：사랑받다、인정받다,,,"追星,療癒"
