ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
요즘,最近,yojeum,,單字,명사,요즘 어때요?,最近怎麼樣？,,時間
요구르트,優酪乳,yogureuteu,,單字,명사,,,外來語 yogurt；韓國多指瓶裝的乳酸菌飲料,食物
요가,瑜伽,yoga,,單字,명사,,,外來語 yoga,運動
요리하다,做料理,yorihada,料理하다,單字,동사,요리하는 걸 좋아해요.,我喜歡做菜。,漢字「料理」；名詞形 요리,生活
요리사,廚師,yorisa,料理師,單字,명사,,,漢字「料理師」,職業
요술,妖術,yosul,妖術,單字,명사,,,漢字「妖術」，指魔法、法術,奇幻
요요,溜溜球,yoyo,,單字,명사,,,外來語 yo-yo；也指減肥後的「溜溜球效應」,玩具
요청하다,請求,yocheonghada,要請하다,單字,동사,도움을 요청했어요.,我請求了幫助。,漢字「要請」。「邀請」是 초대하다／초청하다，別混淆,溝通
요트,帆船,yoteu,,單字,명사,,,外來語 yacht；「快艇」是 모터보트,交通
요섹남,會做菜的性感男子,yosengnam,,單字,명사,,,網路縮語，完整形為 요리하는 섹시한 남자,網路用語
