ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
짜다,鹹／擠,jjada,,單字,,,,★ 多義：①鹹（味道）②擠、榨（우유를 짜다）③編織。甜是 달다,形容
짜장면,炸醬麵,jjajangmyeon,짜장麵,單字,명사,,,짜장（源自中文「炸醬」）+ 면（麵）。자장면 與 짜장면 現在都是標準寫法,食物
가짜,假的,gajja,假짜,單字,명사,,,가（假，漢字）+ 짜（固有語後綴）。真的是 진짜（真짜）,形容
짜증,煩躁,jjajeung,,單字,명사,짜증 나요.,好煩。,固有語；짜증 나다＝覺得煩,情緒
쫄면,Q彈冷麵,jjolmyeon,쫄麵,單字,명사,,,쫄깃하다（有嚼勁）+ 면（麵）,食物
부대찌개,部隊鍋,budaejjigae,部隊찌개,單字,명사,,,★ 부대（部隊，漢字）+ 찌개（湯鍋，固有語）。韓戰後用美軍基地的午餐肉、香腸做成，名稱由此而來,食物
짬뽕,炒碼麵,jjamppong,,單字,명사,,,經日語 ちゃんぽん 傳入，源頭在中國。韓式中華料理的代表,食物
찜질방,汗蒸幕,jjimjilbang,찜질房,單字,명사,,,찜질（熱敷，固有語）+ 방（房，漢字）,場所
찍다,拍照,jjikda,,單字,동사,사진을 찍어요.,拍照。,★ 多義：①拍照 ②蓋章 ③沾（醬料）,動詞
짱이다,超棒,jjangida,,單字,,,,網路用語：짱＝最棒、第一。也當前綴用（짱맛있어＝超好吃）,網路用語
