ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
외국,外國,oeguk,外國,單字,명사,외국에 가고 싶어요.,我想出國。,漢字「外國」；外國人是 외국인（外國人）,國家
외투,外套,oetu,外套,單字,명사,,,漢字「外套」；口語也說 코트（coat）,服裝
외교관,外交官,oegyogwan,外交官,單字,명사,,,漢字「外交官」,職業
외롭다,孤單,oeropda,,單字,형용사,혼자 있으면 외로워요.,一個人會孤單。,★ 固有語，這個「외」不是「外」。ㅂ 不規則：외로워요,情緒
외식,外食,oesik,外食,單字,명사,,,漢字「外食」＝在外面吃飯，也當動詞 외식하다,食物
외우다,背誦,oeuda,,單字,동사,단어를 외워요.,背單字。,★ 固有語，與「外」無關,學習
외가,外婆家,oega,外家,單字,명사,,,漢字「外家」＝媽媽的娘家；爸爸那邊是 친가（親家）,家庭
외할머니,外婆,oehalmeoni,外할머니,單字,명사,,,外（媽媽那邊）+ 할머니（奶奶）。爸爸的媽媽是 친할머니,家庭
외동딸,獨生女,oedongttal,,單字,명사,,,★ 這個「외」是固有語的「單一」，不是「外」。獨生子是 외동아들,家庭
뇌섹남,腦性男,noeseknam,腦섹男,單字,명사,,,網路縮語：뇌가 섹시한 남자（腦子很性感的男人），指聰明有魅力的男性,網路用語
