ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
택배,宅配,word,명사,宅配,taekbae,漢字「宅配」。택배가 왔어요＝包裹到了；宅配員是 택배 기사님,택배가 벌써 도착했어요.,宅配已經到了。,"購物,生活"
배송,配送,word,명사,配送,baesong,漢字「配送」。무료배송＝免運，網購頁面天天看到,배송이 좀 늦어지고 있어요.,配送有點延遲。,購物
환불,退款,word,명사,還拂,hwanbul,★ 漢字是「還拂」而非「退款」。환불받다＝拿到退款,이거 환불되나요?,這個可以退嗎？,購物
교환,換貨,word,명사,交換,gyohwan,漢字「交換」。사이즈 교환＝換尺寸,사이즈만 교환하고 싶어요.,我只想換尺寸。,購物
후기,評價,word,명사,後記,hugi,★ 漢字是「後記」而非「評價」。買東西前先看 후기 是韓國網購的習慣,후기 보고 샀는데 괜찮네요.,看了評價才買，還不錯耶。,"購物,網路用語"
장바구니,購物車,word,명사,,jangbaguni,장（場，市場）+ 바구니（籃子，固有語）的混合詞。網購也用同一個詞,일단 장바구니에 담아 뒀어요.,先放進購物車了。,購物
주문,訂購,word,명사,注文,jumun,★ 漢字是「注文」而非「訂購」，與日語相同。주문하다＝下訂、點餐,어제 주문한 게 아직 안 왔어요.,昨天訂的還沒到。,購物
앱,APP,word,명사,,aep,외래어 app。애플리케이션 的縮寫，韓國人只說 앱,이 앱 진짜 편해요.,這個 APP 真的很方便。,"生活,學習"
충전,充電,word,명사,充電,chungjeon,漢字「充電」。也指儲值：교통카드 충전＝儲值交通卡,휴대폰 충전 좀 해야겠어요.,手機該充個電了。,"生活,物品"
와이파이,Wi-Fi,word,명사,,waipai,외래어 Wi-Fi。와이파이 비밀번호＝Wi-Fi 密碼,여기 와이파이 되나요?,這裡有 Wi-Fi 嗎？,"生活,場所"
알림,通知,word,명사,,allim,알리다（通知）+ -ㅁ 的名詞形，固有語。알림 설정＝通知設定,알림을 꺼 놨어요.,我把通知關掉了。,"生活,學習"
링크,連結,word,명사,,ringkeu,외래어 link。링크 걸어 줄게요＝我把連結貼給你,링크 좀 보내 주세요.,麻煩把連結傳給我。,"學習,網路用語"
배터리,電池,word,명사,,baeteori,외래어 battery。배터리가 없다＝沒電了,배터리가 얼마 안 남았어요.,電池快沒了。,"生活,物品"
코트,大衣,word,명사,,koteu,외래어 coat。與已收的 외투（外套）通用，코트 更指長版,이번 겨울에 코트를 하나 샀어요.,這個冬天買了一件大衣。,"服裝,購物"
신발,鞋子,word,명사,,sinbal,신다（穿鞋）+ 발（腳）的固有語複合詞。鞋子的量詞是 켤레,신발이 좀 작은 것 같아요.,鞋子好像有點小。,"服裝,購物"
사이즈,尺寸,word,명사,,saijeu,외래어 size。한 사이즈 크게＝大一號,한 사이즈 큰 거 있어요?,有大一號的嗎？,"服裝,購物"
어울리다,適合,word,동사,,eoullida,★ 主語是「東西」不是人：이 옷이 너에게 어울려（這衣服適合你）。誇人穿搭最常用的一個字,그 색깔이 정말 잘 어울려요.,那個顏色真的很適合你。,"服裝,回應"
입다,穿（衣）,word,동사,,ipda,★ 韓語「穿戴」分很細：衣服 입다、鞋襪 신다、帽子眼鏡 쓰다、手套戒指 끼다、領帶皮帶 매다、手錶 차다。中文全是「穿／戴」,오늘은 원피스를 입었어요.,今天穿了洋裝。,服裝
신다,穿（鞋襪）,word,동사,,sinda,只用於鞋子與襪子。與 입다（衣服）分工，不能混用,운동화를 신고 나갔어요.,穿運動鞋出門了。,服裝
벗다,脫,word,동사,,beotda,입다·신다·쓰다 的相反都是 벗다，這個字一個就夠用,실내에서는 신발을 벗어요.,在室內要脫鞋。,"服裝,生活"
늦다,遲到／晚,word,형용사,,neutda,★ 兼形容詞與動詞：시간이 늦다（時間晚了）、약속에 늦다（約會遲到）,차가 막혀서 좀 늦을 것 같아요.,塞車，可能會晚一點到。,"時間,溝通"
일정,行程,word,명사,日程,iljeong,漢字「日程」。일정이 있다＝有行程,그날은 일정이 있어서 어려워요.,那天有行程，不太方便。,"時間,溝通"
미루다,延後,word,동사,,miruda,把時間往後挪。也指拖延：숙제를 미루다＝拖著作業不做,다음 주로 미뤄도 될까요?,可以延到下週嗎？,"時間,溝通"
비다,空著,word,동사,,bida,★ 時間空著也用它：시간이 비다＝有空。相反是 차다（滿）,이번 주말은 시간이 비어요.,這個週末有空。,"時間,溝通"
