ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
와이프,妻子,waipeu,,單字,명사,,,外來語 wife；也常說 아내（固有語）或 집사람,家庭
와플,鬆餅,wapeul,,單字,명사,,,外來語 waffle,食物
과자,餅乾,gwaja,菓子,單字,명사,,,漢字「菓子」，泛指零食點心,食物
완전히,完全地,wanjeonhi,完全히,單字,부사,완전히 잊었어요.,完全忘了。,漢字「完全」；口語常單說 완전 當強調語,副詞
와사비,芥末,wasabi,,單字,명사,,,外來語，源自日語 わさび；正式名稱是 고추냉이,食物
완구,玩具,wangu,玩具,單字,명사,,,漢字「玩具」；口語多說 장난감（固有語）,玩具
완성하다,完成,wanseonghada,完成하다,單字,동사,숙제를 완성했어요.,作業完成了。,漢字「完成」,動詞
와인,葡萄酒,wain,,單字,명사,,,外來語 wine；漢字詞說法是 포도주（葡萄酒）,食物
사과,蘋果,sagwa,,單字,명사,사과를 먹어요.,吃蘋果。,同形詞 사과（謝過）＝道歉，靠上下文分辨,食物
핑프,伸手黨,pingpeu,,單字,명사,,,網路縮語：핑거 프린세스（finger princess）。指自己不查、只會發問要答案的人,網路用語
