ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
싸다,便宜,ssada,,單字,형용사,이거 싸요.,這個很便宜。,★ 多義：①便宜 ②打包（짐을 싸다）③排泄。貴是 비싸다,形容
싸우다,吵架,ssauda,,單字,동사,,,固有語；比已收的 다투다 語氣重，可指動手,情緒
이쑤시개,牙籤,issusigae,,單字,명사,,,固有語複合詞：이（牙）+ 쑤시개（戳的東西）,物品
씻다,洗,ssitda,,單字,동사,손을 씻어요.,洗手。,固有語；洗衣服用 빨다、洗頭用 감다,生活
씨앗,種子,ssiat,,單字,명사,,,固有語,自然
쌍둥이,雙胞胎,ssangdungi,雙둥이,單字,명사,,,쌍（雙，漢字）+ 둥이（固有語後綴，指某類人）,家庭
쑤시다,痠痛,ssusida,,單字,동사,,,固有語；也指用尖物戳（이를 쑤시다＝剔牙）,身體
쓰다,寫／用／戴／苦,sseuda,,單字,동사,편지를 써요.,寫信。,★ 四個義項共用同一拼寫：①寫 ②使用 ③戴（帽子眼鏡）④苦（味道）。全靠上下文,動詞
쓰레기,垃圾,sseuregi,,單字,명사,,,固有語；垃圾桶是 쓰레기통,生活
썸남,曖昧中的男生,sseomnam,썸男,單字,명사,,,썸（來自英文 something）+ 남（男）。썸 타다＝處於曖昧階段 —— 這正是 애매하다 表達不了的那種曖昧,網路用語
썸녀,曖昧中的女生,sseomnyeo,썸女,單字,명사,,,與 썸남 對應；녀（女）,網路用語
