ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
일월,一月,irwol,一月,單字,명사,,,★ 月份一律用漢字數詞 + 월（月）,月份
이월,二月,iwol,二月,單字,명사,,,,月份
삼월,三月,samwol,三月,單字,명사,,,,月份
사월,四月,sawol,四月,單字,명사,,,,月份
오월,五月,owol,五月,單字,명사,,,,月份
유월,六月,yuwol,六月,單字,명사,,,★ 不規則：不是 육월 而是 유월 —— 육（六）的收音 ㄱ 脫落。這是月份唯二的例外之一,月份
칠월,七月,chirwol,七月,單字,명사,,,,月份
팔월,八月,parwol,八月,單字,명사,,,,月份
구월,九月,guwol,九月,單字,명사,,,,月份
시월,十月,siwol,十月,單字,명사,,,★ 不規則：不是 십월 而是 시월 —— 십（十）的收音 ㅂ 脫落。與 유월 是月份僅有的兩個例外,月份
십일월,十一月,sibirwol,十一月,單字,명사,,,十一月照常，不脫落,月份
십이월,十二月,sibiwol,十二月,單字,명사,,,十二月照常,月份
일일,一號,iril,一日,單字,명사,,,★ 日期也用漢字數詞 + 일（日）；日期沒有月份那種例外,日期
이일,二號,iil,二日,單字,명사,,,,日期
삼일,三號,samil,三日,單字,명사,,,,日期
