ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
어서,趕快,eoseo,,單字,부사,어서 오세요.,歡迎光臨。,催促或招呼；「어서 오세요」是店家常用語,副詞
어린이,兒童,eorini,,單字,명사,,,어리다（年幼）+ 이；5月5日是 어린이날（兒童節）,家庭
연어,鮭魚,yeoneo,,單字,명사,연어를 좋아해요.,我喜歡鮭魚。,,食物
어머니,母親,eomeoni,,單字,명사,,,口語常說 엄마,家庭
어묵,魚板,eomuk,魚묵,單字,명사,어묵이 맛있어요.,魚板很好吃。,어＝魚；街頭小吃代表，冬天配湯,食物
어버이날,父母節,eobeoinal,,單字,명사,,,5月8日；韓國父母親合過一個節，不像華人分開,節日
어깨,肩膀,eokkae,,單字,명사,어깨가 아파요.,肩膀痛。,,身體
어렵다,難,eoryeopda,,單字,형용사,한국어가 어려워요.,韓語很難。,ㅂ 不規則：어렵다 → 어려워요,形容
붕어빵,鯽魚燒,bungeoppang,,單字,명사,,,붕어（鯽魚）+ 빵（麵包）。也比喻「長得一模一樣」——因為都是同一個模子壓出來的,食物
헬조선,地獄朝鮮,hel-joseon,헬朝鮮,單字,명사,,,網路用語：hell + 朝鮮，諷刺韓國社會競爭與生活壓力。標準寫法不分寫,網路用語
