ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
빠지다,掉入／漏掉,ppajida,,單字,동사,,,★ 多義：①掉進（물에 빠지다）②漏掉、缺席 ③沉迷（사랑에 빠지다＝墜入愛河）,動詞
빠르다,快,ppareuda,,單字,형용사,,,르 不規則：빨라요。慢是 느리다,形容
뽀뽀,親親,ppoppo,,單字,명사,,,固有語；親暱的輕吻，比 키스（kiss）更童趣,情感
빨간색,紅色,ppalgansaek,빨간色,單字,명사,,,빨갛다（紅）+ 색（色，漢字）。顏色詞多是這個結構：파란색、노란색,顏色
뿌리다,噴灑,ppurida,,單字,동사,,,固有語,動詞
빼다,減去,ppaeda,,單字,동사,,,固有語；加是 더하다。與已收的 빼박（빼도 박도 못하다）同源,動詞
뺨,臉頰,ppyam,,單字,명사,,,固有語；볼 也指臉頰，語感較柔,身體
뼈,骨頭,ppyeo,,單字,명사,,,固有語,身體
뿌리,根,ppuri,,單字,명사,,,固有語；也指事物的根源,自然
낄끼빠빠,該進則進該退則退,kkilkkippappa,,單字,,,,網路順口溜：낄 때 끼고 빠질 때 빠져라（該加入時加入、該退出時退出）＝要有眼力見。取每節首字組成,網路用語
