ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
산리오,三麗鷗,word,명사,,sallio,외래어 Sanrio。韓國也直接說 산리오 캐릭터즈,산리오 굿즈만 보면 지갑이 열려요.,一看到三麗鷗周邊錢包就自動打開。,"娛樂,購物"
시나모롤,大耳狗,word,명사,,sinamorol,외래어 Cinnamoroll。韓國粉絲常暱稱 시나모,시나모롤 인형을 하나 더 샀어요.,又買了一隻大耳狗玩偶。,娛樂
디즈니,迪士尼,word,명사,,dijeuni,외래어 Disney,디즈니 영화는 몇 번을 봐도 좋아요.,迪士尼電影看幾次都好看。,娛樂
굿즈,周邊,word,명사,,gutjeu,외래어 goods。追星與角色商品的統稱，韓國幾乎不說 상품,이번 굿즈는 색감이 예뻐요.,這次的周邊配色很漂亮。,"購物,娛樂"
뽑기,扭蛋,word,명사,,ppopgi,뽑다（抽、拔）+ -기。扭蛋機是 뽑기 기계；夾娃娃機也用這個詞,뽑기에서 최애가 나왔어요!,扭蛋抽到我最愛的那隻了！,"娛樂,購物"
인형,玩偶,word,명사,人形,inhyeong,漢字是「人形」而非「玩偶」，與日語相同,침대에 인형을 잔뜩 올려놨어요.,床上擺滿了玩偶。,物品
디자인,設計,word,명사,,dijain,외래어 design。디자인하다＝做設計,이 포장 디자인이 정말 예뻐요.,這個包裝設計真好看。,"學習,職業"
감성,感性,word,명사,感性,gamseong,漢字「感性」。韓國用它形容氛圍與品味：감성 카페＝有氛圍的咖啡廳,이 카페 진짜 감성 있어요.,這家咖啡廳真的很有氛圍。,"生活,個性"
색감,色調,word,명사,色感,saekgam,漢字是「色感」而非「色調」。講照片、設計時很常用,사진 색감을 따뜻하게 보정했어요.,把照片的色調調得溫暖一些。,學習
소품,小物,word,명사,小品,sopum,漢字是「小品」而非「小物」。指裝飾用的小東西,방에 소품을 몇 개 놨더니 분위기가 달라졌어요.,房間放了幾個小物，氣氛就不一樣了。,"物品,生活"
청소,打掃,word,명사,淸掃,cheongso,漢字是「淸掃」而非「打掃」。動詞是 청소하다,주말마다 방 청소를 해요.,每個週末都會打掃房間。,生活
정리,整理,word,명사,整理,jeongni,漢字「整理」。정리정돈＝收拾整頓，是常見的四字組合,옷장 정리를 하니까 마음이 개운해요.,整理完衣櫃，心裡就清爽了。,生活
먼지,灰塵,word,명사,,meonji,固有語，沒有漢字詞源。먼지를 털다＝撣灰塵,책장에 먼지가 많이 쌓였어요.,書架上積了好多灰塵。,生活
빨래,洗衣,word,명사,,ppallae,固有語。빨래하다＝洗衣服；洗衣機是 세탁기（洗濯機）,날이 좋아서 빨래를 널었어요.,天氣好，把衣服晾出去了。,生活
설거지,洗碗,word,명사,,seolgeoji,固有語。설거지하다＝洗碗,밥 먹고 바로 설거지했어요.,吃完飯馬上就洗碗了。,生活
사주,四柱,word,명사,四柱,saju,漢字「四柱」。韓國最主流的命理，完整說法是 사주팔자（四柱八字）,새해라서 사주를 보러 갔어요.,因為新年到了，去算了四柱。,文化
운세,運勢,word,명사,運勢,unse,漢字「運勢」。오늘의 운세＝今日運勢，韓國入口網站每天都有,아침마다 오늘의 운세를 봐요.,每天早上都會看今日運勢。,文化
점,占卜,word,명사,占,jeom,漢字「占」。점을 보다＝算命；算命的地方是 점집,재미로 점을 한번 봤어요.,抱著好玩的心態算了一次。,文化
타로,塔羅,word,명사,,taro,외래어 tarot。타로를 보다＝看塔羅,고민될 때 타로를 봐요.,猶豫的時候會看塔羅。,文化
띠,生肖,word,명사,,tti,固有語。무슨 띠예요?＝你屬什麼？十二生肖與華人相同,무슨 띠예요?,你屬什麼的？,"文化,疑問詞"
행운,幸運,word,명사,幸運,haengun,漢字「幸運」。행운을 빌어요＝祝你好運,행운을 빌어요!,祝你好運！,"文化,回應"
브이로그,Vlog,word,명사,,beuirogeu,외래어 vlog。韓國 YouTube 最大宗的個人影片類型,요즘 브이로그를 찍어 보고 있어요.,最近在試著拍 Vlog。,"學習,娛樂"
콘텐츠,內容,word,명사,,kontencheu,외래어 contents。指影片、文章等創作內容，韓語習慣用複數形,따뜻한 콘텐츠를 만들고 싶어요.,想做出溫暖人心的內容。,"學習,職業"
편집,剪輯,word,명사,編輯,pyeonjip,漢字「編輯」。影片剪輯與文字編輯都用它,영상 편집에 시간이 제일 오래 걸려요.,影片剪輯最花時間。,"學習,職業"
구독,訂閱,word,명사,購讀,gudok,漢字是「購讀」而非「訂閱」。구독과 좋아요＝訂閱與按讚,구독과 좋아요 부탁드립니다.,請多多訂閱與按讚。,娛樂
촬영,拍攝,word,명사,撮影,chwaryeong,漢字是「撮影」而非「拍攝」，與日語相同,오늘은 촬영이 있어서 일찍 나가요.,今天有拍攝，要早點出門。,"職業,學習"
