ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
옵션보기,查看選項,word,명사,,opsyeonbogi,商品卡片上的按鈕，點了選尺寸與顏色。보기＝查看（實際出現在 coyseio.com 上）,옵션보기를 눌러서 사이즈를 골랐어요.,點了查看選項來挑尺寸。,"購物,網路用語"
확대보기,放大檢視,word,명사,擴大보기,hwakdaebogi,확대（擴大）+ 보기。看商品細節時點這個（實際出現在 coyseio.com 上）,확대보기로 자수를 확인했어요.,用放大檢視確認了刺繡。,"購物,網路用語"
새창보기,開新視窗,word,명사,,saechangbogi,새（新，固有語）+ 창（窓，漢字）+ 보기 的混合詞（實際出現在 coyseio.com 上）,새창보기로 열면 편해요.,用開新視窗打開比較方便。,"購物,網路用語"
첫 페이지,第一頁,phrase,,,cheot peiji,첫＝第一（固有語）。分頁列固定四個：첫／이전／다음／마지막（實際出現在 coyseio.com 上）,첫 페이지로 돌아갔어요.,回到第一頁了。,"購物,網路用語"
이전,上一個,word,명사,以前,ijeon,漢字「以前」。網頁上是「上一頁」的意思，不是時間上的以前（實際出現在 coyseio.com 上）,이전 페이지로 가 볼게요.,我回上一頁看看。,"購物,網路用語"
다음,下一個,word,명사,,daeum,固有語。다음 페이지＝下一頁；다음에＝下次（實際出現在 coyseio.com 上）,다음 페이지에 더 있어요.,下一頁還有更多。,"購物,時間"
마지막,最後,word,명사,,majimak,固有語。마지막 페이지＝最後一頁；마지막으로＝最後（實際出現在 coyseio.com 上）,마지막 페이지까지 다 봤어요.,一路看到最後一頁。,"購物,時間"
국내배송,國內配送,word,명사,國內配送,gungnaebaesong,漢字「國內配送」。海外寄送是 해외배송（實際出現在 coyseio.com 上）,국내배송만 무료예요.,只有國內配送免運。,購物
결제,付款,word,명사,決濟,gyeolje,★ 漢字是「決濟」而非「付款」。결제하다＝結帳付款（實際出現在 coyseio.com 上）,결제가 아직 안 됐어요.,還沒付款成功。,購物
회원가입,註冊會員,word,명사,會員加入,hoewongaip,漢字是「會員加入」而非「註冊」。加입하다＝加入,회원가입하면 할인해 줘요.,註冊會員的話會給折扣。,"購物,學習"
주문내역,訂單紀錄,word,명사,注文內譯,jumunnaeyeok,漢字「注文內譯」。내역（內譯）＝明細,주문내역에서 확인할 수 있어요.,可以在訂單紀錄裡確認。,購物
배송조회,查詢物流,word,명사,配送照會,baesongjohoe,漢字「配送照會」。조회 與已收的 조회수 同一個字,배송조회 해 보니까 출발했대요.,查了物流，說已經出發了。,購物
반품,退貨,word,명사,返品,banpum,漢字是「返品」而非「退貨」，與日語相同。與 환불（退款）不同：先退貨才退款,반품하려면 어떻게 해요?,要退貨的話該怎麼做？,購物
적립금,購物金,word,명사,積立金,jeokripgeum,漢字「積立金」。買東西累積、下次可折抵,적립금으로 오천 원 깎았어요.,用購物金折了五千元。,購物
쿠폰,優惠券,word,명사,,kupon,외래어 coupon。쿠폰을 적용하다＝套用優惠券,쿠폰 적용하는 걸 깜빡했어요.,忘記套用優惠券了。,購物
품절 임박,即將售罄,phrase,,品切臨迫,pumjeol imbak,漢字「品切臨迫」。網購頁面的緊迫提示,품절 임박이라고 떠 있어요.,上面顯示即將售罄。,購物
장바구니에 담다,加入購物車,phrase,,,jangbagunie damda,담다＝裝進去（固有語）。韓語不說「加入」，說「裝進籃子」,일단 장바구니에 담아 놨어요.,先放進購物車了。,購物
