ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
파도,波浪,pado,波濤,單字,명사,,,漢字「波濤」,自然
파스,痠痛貼布,paseu,,單字,명사,,,藥用貼布；詞源有爭議故不標漢字,醫療
파리,蒼蠅／巴黎,pari,,單字,명사,,,★ 同形詞：파리＝蒼蠅（固有語）；파리＝Paris（外來語）。靠上下文分辨,動物
필요하다,需要,piryohada,必要하다,單字,형용사,도움이 필요해요.,我需要幫助。,漢字「必要」；名詞形 필요,句型
피부,皮膚,pibu,皮膚,單字,명사,,,漢字「皮膚」,身體
차표,車票,chapyo,車票,單字,명사,,,漢字「車票」；차（車）＋표（票）。與已收的 차（茶／車）同字,交通
페이지,頁面,peiji,,單字,명사,,,外來語 page；漢字詞說法是 쪽 或 면（面）,基礎
패하다,戰敗,paehada,敗하다,單字,동사,,,漢字「敗」；贏是 이기다（固有語）,動詞
파스타,義大利麵,paseuta,,單字,명사,,,外來語 pasta,食物
팩트폭력,事實暴擊,paekteupokryeok,팩트暴力,單字,명사,,,網路用語：fact + 폭력（暴力）。指用事實戳破對方、令人無法反駁。常縮成 팩폭,網路用語
