ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
예의,禮貌,yeui,禮儀,單字,명사,예의가 바르네요.,很有禮貌呢。,漢字「禮儀」；常說 예의 바르다（有禮貌）,社交
예금,存款,yegeum,預金,單字,명사,,,漢字「預金」；提款是 출금（出金），存入是 입금（入金）,金融
예민하다,敏感,yeminhada,銳敏하다,單字,형용사,피부가 예민해요.,皮膚很敏感。,漢字「銳敏」；可指皮膚敏感，也指個性易受影響,形容
예매하다,預訂,yemaehada,豫買하다,單字,동사,표를 예매했어요.,我訂票了。,漢字「豫買」，指提前買票；訂位是 예약（豫約）,生活
예절,禮節,yejeol,禮節,單字,명사,,,漢字「禮節」；與 예의 近義，예절 偏具體規範,社交
예술가,藝術家,yesulga,藝術家,單字,명사,,,漢字「藝術家」；藝術是 예술,職業
예습하다,預習,yeseuphada,豫習하다,單字,동사,,,漢字「豫習」；複習是 복습（復習）,學習
예쁘다,漂亮,yeppeuda,,單字,형용사,정말 예뻐요.,真漂亮。,★ 純韓語詞，沒有漢字 —— 同樣讀「예」，這個字與上面幾個來源完全不同,形容
세계,世界,segye,世界,單字,명사,세계 여행을 하고 싶어요.,我想環遊世界。,漢字「世界」,基礎
세젤예,世界最美,sejerye,,單字,명사,,,網路縮語：세상에서 제일 예쁘다（世上最漂亮）。誇人常用,網路用語
