ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
집순이,宅女,word,명사,,jipsuni,집（家）+ 순이（固有語的女性後綴）。愛待在家的女生，★ 男生是 집돌이。這是自稱，帶點可愛不是貶義（取自 planD플랜디 影片標題）,저는 완전 집순이예요.,我是徹底的宅女。,"生活,個性"
보통,平常,word,명사,普通,botong,漢字「普通」。보통의 순간＝平常的時刻；보통은＝通常,보통의 하루가 제일 소중해요.,平常的一天最珍貴。,"療癒,生活"
순간,瞬間,word,명사,瞬間,sungan,漢字「瞬間」。그 순간＝那一刻,그 순간을 사진으로 남겼어요.,把那一刻用照片留了下來。,"療癒,學習"
기록하다,記錄,word,동사,記錄하다,girokhada,漢字「記錄」。기록을 남기다＝留下記錄,매일을 짧게 기록해요.,每天簡短地記錄下來。,"學習,生活"
놀다,玩,word,동사,,nolda,固有語。★ 혼자 잘 논다＝一個人也玩得很好，誇一個人自在的說法，不是說很會玩,혼자서도 잘 놀아요.,一個人也過得很自在。,"生活,療癒"
꿀템,好物,word,명사,,kkultem,꿀（蜂蜜）+ 아이템（item）。★ 꿀 是超高產的前綴：꿀잼（超有趣）· 꿀팁（好用小撇步）· 꿀조합（絕配）· 꿀템（好物）（取自 planD플랜디 影片標題）,이건 진짜 꿀템이에요.,這個真的是好物。,"購物,網路用語"
꿀조합,絕配,word,명사,,kkuljohap,꿀 + 조합（組合，漢字詞）。指搭在一起特別好的組合（取自 planD플랜디 影片標題）,이 두 개가 꿀조합이에요.,這兩個搭起來是絕配。,"網路用語,食物"
꿀팁,實用小撇步,word,명사,,kkultip,꿀 + tip。生活風格影片的標題常客,청소 꿀팁 하나 알려 드릴게요.,跟你分享一個打掃小撇步。,"網路用語,生活"
망하다,搞砸,word,동사,亡하다,manghada,漢字「亡」。★ 口語裡是「失敗、搞砸」，語氣輕鬆自嘲，不是真的完蛋：요리가 망했어요＝菜做失敗了（取自 planD플랜디 影片標題）,오늘 요리는 완전 망했어요.,今天的菜徹底失敗了。,"情緒,網路用語"
언박싱,開箱,word,명사,,eonbaksing,외래어 unboxing。買東西拍開箱是韓國影片的固定類型（取自 planD플랜디 影片標題）,주말에 언박싱 영상을 찍었어요.,週末拍了開箱影片。,"購物,學習"
소개,介紹,word,명사,紹介,sogae,★ 漢字是「紹介」而非「介紹」，與日語相同，字序相反,오늘은 이 제품을 소개할게요.,今天要介紹這個產品。,"學習,溝通"
정리,整理,word,명사,整理,jeongni,漢字「整理」。집정리＝整理家裡；정리정돈＝收拾整頓,주말마다 집정리를 해요.,每個週末都會整理家裡。,生活
세탁,洗衣,word,명사,洗濯,setak,漢字「洗濯」。세탁기＝洗衣機；口語說 빨래 更多（取自 planD플랜디 影片標題）,이 옷은 세탁이 까다로워요.,這件衣服很難洗。,生活
얼룩,汙漬,word,명사,,eolluk,固有語，沒有漢字詞源。얼룩이 지다＝沾到汙漬（取自 planD플랜디 影片標題）,커피 얼룩이 안 지워져요.,咖啡漬洗不掉。,生活
바삭하다,酥脆,word,형용사,,basakhada,擬態語系的形容詞。炸物、餅乾的口感（取自 planD플랜디 影片標題）,겉이 바삭해서 맛있어요.,外皮酥脆很好吃。,"食物,情緒"
보양식,補身料理,word,명사,補養食,boyangsik,漢字「補養食」。夏天或身體虛時吃的補身食物，韓國三伏天吃 삼계탕 就是典型（取自 planD플랜디 影片標題）,여름엔 보양식을 챙겨 먹어요.,夏天會好好吃補身料理。,"食物,療癒"
레시피,食譜,word,명사,,resipi,외래어 recipe。漢字詞說法是 조리법（調理法）（取自 planD플랜디 影片標題）,이 레시피 진짜 간단해요.,這個食譜真的很簡單。,"食物,學習"
구독자,訂閱者,word,명사,購讀者,gudokja,漢字「購讀者」。★ 影片裡稱呼觀眾會加 님：구독자님。님 是敬稱，對觀眾表示尊重（取自 planD플랜디 影片標題）,구독자님들 덕분이에요.,都是多虧訂閱的各位。,"學習,追星"
영상,影片,word,명사,映像,yeongsang,漢字是「映像」而非「影片」。動詞搭配是 영상을 찍다（拍影片）,새 영상 올라왔어요.,新影片上傳了。,"學習,娛樂"
-는 법,…的方法,phrase,,,neun beop,接動詞語幹，表「做某事的方法」。힐링하는 법＝療癒的方法。影片標題最常見的結構之一（取自 planD플랜디 影片標題）,혼자 쉬는 법을 배웠어요.,學會了一個人休息的方法。,"學習,療癒"
