ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
오늘도 잘 먹었습니다.,今天也吃得很滿足。,sentence,,,oneuldo jal meogeotseumnida,吃完一頓的收尾。★ 與飯前的 잘 먹겠습니다 成對，vlog 收尾很常用,,,"食物,溫暖"
이렇게 하면 훨씬 편해요.,這樣做會輕鬆很多。,sentence,,,ireoke hamyeon hwolssin pyeonhaeyo,-면＝如果…就；훨씬＝…得多（比較時加強）。分享技巧時的固定說法,,,"生活,溝通"
생각보다 간단하죠?,比想像中簡單吧？,sentence,,,saenggakboda gandanhajyo,생각보다＝比想像中。-죠? 徵求同意，教學影片最常見的收尾,,,"學習,回應"
한번 해 보세요.,試一次看看。,sentence,,,hanbeon hae boseyo,한번＝試一下（不是「一次」的數量）。★ -아/어 보다＝試著做，加 한번 語氣更輕鬆,,,"學習,溝通"
이건 진짜 강추예요.,這個真心推薦。,sentence,,,igeon jinjja gangchuyeyo,강추＝강력 추천（強力推薦）的縮語。★ 相反是 비추（非推，不推薦）,,,"購物,網路用語"
생각보다 별로였어요.,比想像中普通。,sentence,,,saenggakboda byeolloyeosseoyo,별로＝不怎麼樣。★ 韓國人不直接說「難吃、難用」，說 별로 是委婉的否定,,,"購物,情緒"
혼자 있는 시간이 필요해요.,我需要一個人的時間。,sentence,,,honja inneun sigani piryohaeyo,-는 시간＝…的時間。혼자 있다＝獨處，不帶負面意思,,,"療癒,情緒"
오늘 하루도 수고했어.,今天一天也辛苦了。,sentence,,,oneul harudo sugohaesseo,對自己說的半語版。★ 敬語 수고했어요 只能對平輩晚輩，但對自己說沒有這個限制,,,"溫暖,療癒"
이만하면 괜찮지 않아요?,這樣應該可以了吧？,sentence,,,imanhamyeon gwaenchanchi anayo,이만하면＝到這個程度的話。-지 않아요? 用否定問句徵求同意，比直接肯定客氣,,,"生活,回應"
다들 어떻게 하세요?,大家都怎麼做呢？,sentence,,,dadeul eotteoke haseyo,다들＝大家（口語，比 여러분 隨意）。影片裡問觀眾的固定句,,,"溝通,學習"
별거 아니에요.,沒什麼大不了的。,sentence,,,byeolgeo anieyo,별거＝별것（特別的東西）的口語形。被稱讚時的謙虛回應,,,"回應,溝通"
생각날 때마다 만들어요.,想到就會做。,sentence,,,saenggangnal ttaemada mandeureoyo,-ㄹ 때마다＝每當…的時候。생각나다＝想起來（自動詞，不是 생각하다）,,,"食物,生活"
정리하고 나니까 개운해요.,整理完覺得很舒暢。,sentence,,,jeongnihago nanikka gaeunhaeyo,-고 나니까＝做完之後才發現。★ 這個句型專門用來講「做完之後的感受」,,,"生活,療癒"
요즘 이거에 빠졌어요.,最近迷上這個了。,sentence,,,yojeum igeoe ppajyeosseoyo,-에 빠지다＝沉迷於。★ 빠지다 本義是掉進去，沉迷是引申義,,,"情緒,生活"
무리하지 말고 천천히 해요.,別勉強，慢慢來。,sentence,,,murihaji malgo cheoncheonhi haeyo,-지 말고＝不要…而是。兩個已收的說法合成一句，這是它們最常出現的形式,,,"溫暖,關心"
