ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
웨딩,婚禮,weding,,單字,명사,,,外來語 wedding；漢字詞說法是 결혼식（結婚式）,婚禮
웨딩드레스,婚紗,wedingdeureseu,,單字,명사,,,外來語 wedding dress,婚禮
웨딩사진,婚紗照,wedingsajin,웨딩寫眞,單字,명사,,,★ 外來語 + 漢字詞的混合：웨딩(wedding) + 사진(寫眞)。사진＝照片，與日語同,婚禮
웨이브,波浪捲,weibeu,,單字,명사,,,外來語 wave；髮型用語,美妝
웨이터,服務生,weiteo,,單字,명사,,,外來語 waiter；女服務生是 웨이트리스,職業
웹사이트,網站,wepsaiteu,,單字,명사,,,外來語 web site；也單說 사이트,網路
웰빙,樂活,welbing,,單字,명사,,,外來語 well-being。韓國把它發展成生活風格用語：웰빙 음식＝健康飲食,生活
스웨터,毛衣,seuweteo,,單字,명사,,,外來語 sweater,服裝
스웨덴,瑞典,seuweden,,單字,명사,,,國名 Sweden,國家
심쿵해,心動,simkunghae,,單字,,,,網路用語：심장이 쿵（心臟咚一下）。형용사化後當感嘆用，如「완전 심쿵」,網路用語
