ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
사주팔자,四柱八字,word,명사,四柱八字,sajupalja,漢字「四柱八字」。口語常縮成 사주。「這是命」的說法是 팔자다,사주팔자 믿는 편이에요?,你算是相信命理的人嗎？,文化
궁합,合不合,word,명사,宮合,gunghap,漢字是「宮合」而非「合婚」。原指婚配合不合，現在食物、朋友之間也用：음식 궁합＝食物搭不搭,우리 둘은 궁합이 잘 맞아요.,我們兩個很合得來。,"文化,個性"
별자리,星座,word,명사,,byeoljari,별（星）+ 자리（位置）。固有語複合詞，沒有漢字詞源,무슨 별자리예요?,你是什麼星座？,"文化,疑問詞"
혈액형,血型,word,명사,血液型,hyeoraekhyeong,漢字是「血液型」而非「血型」。韓國人聊性格時很愛問,혈액형이 어떻게 되세요?,請問你是什麼血型？,文化
소원,願望,word,명사,所願,sowon,漢字是「所願」而非「願望」。소원을 빌다＝許願,생일에 소원 빌었어요?,生日許願了嗎？,"文化,情緒"
부적,護身符,word,명사,符籍,bujeok,漢字是「符籍」而非「護身符」。求平安或考運時帶在身上,시험 앞두고 부적을 받았어요.,考試前拿到了護身符。,"文化,物品"
액운,厄運,word,명사,厄運,aegun,漢字「厄運」。액운을 막다＝擋災。相反是 행운（幸運）,액운을 막아 준대요.,據說可以擋災。,文化
운이 좋다,運氣好,phrase,형용사구,,uni jota,運（운）是漢字詞。★ 相反不說 운이 나쁘다，韓語習慣說 운이 없다（沒有運）,오늘은 운이 좋았어요.,今天運氣不錯。,"文化,情緒"
새해 복 많이 받으세요.,新年快樂。,sentence,,,saehae bok mani badeuseyo,字面是「新年請多多接收福氣」。★ 韓國過年說這句，不說「新年快樂」的直譯。복（福）是漢字詞,,,"文化,問候"
올해 운세가 좋대요.,聽說今年運勢不錯。,sentence,,,olhae unsega jotaeyo,-대요＝聽說（-다고 해요 的縮寫），轉述別人的話時最常用的語尾,,,文化
채널,頻道,word,명사,,chaeneol,외래어 channel。채널을 만들다＝開頻道,채널 만든 지 일 년 됐어요.,開頻道滿一年了。,"學習,職業"
업로드,上傳,word,명사,,eoprodeu,외래어 upload。動詞是 업로드하다，口語也說 올리다（固有語，更常用）,영상 업로드했어요.,影片上傳好了。,"學習,職業"
썸네일,縮圖,word,명사,,sseomneil,외래어 thumbnail。決定點閱率的關鍵，YouTube 圈天天在講,썸네일부터 다시 만들었어요.,縮圖從頭重做了。,"學習,職業"
자막,字幕,word,명사,字幕,jamak,漢字「字幕」。자막을 넣다＝上字幕,자막 넣는 데 두 시간 걸렸어요.,上字幕花了兩個小時。,"學習,職業"
조회수,觀看次數,word,명사,照會數,johoesu,漢字是「照會數」而非「觀看數」。照會（조회）在韓語指查閱、點閱,조회수가 갑자기 올랐어요.,觀看次數突然上升了。,"學習,職業"
댓글,留言,word,명사,,daetgeul,대（對）+ 글（文章）的混合詞。답글＝回覆留言。★ 惡意留言叫 악플（惡+reply）,댓글 하나하나 다 읽어요.,每一則留言我都會看。,"學習,網路用語"
구독자,訂閱者,word,명사,購讀者,gudokja,漢字「購讀者」。與已收的 구독（購讀）同源,구독자 천 명이 넘었어요.,訂閱數超過一千人了。,"學習,職業"
협찬,業配,word,명사,協贊,hyeopchan,漢字是「協贊」而非「贊助」。★ 標示規定嚴格，影片開頭要寫 유료 광고 포함,이번 영상은 협찬이에요.,這支影片是業配。,"學習,職業"
릴스,短影音,word,명사,,rilseu,외래어 Reels。인스타 릴스；YouTube 的是 쇼츠（Shorts）,릴스로 올리는 게 반응이 좋아요.,發成短影音反應比較好。,"學習,網路用語"
해시태그,主題標籤,word,명사,,haesitaegeu,외래어 hashtag。口語常說 태그,해시태그를 몇 개 달았어요.,加了幾個主題標籤。,"學習,網路用語"
올리다,上傳,word,동사,,ollida,固有語。比 업로드하다 更常用、更自然。也指「抬高」：가격을 올리다,사진 몇 장 올렸어요.,放上了幾張照片。,學習
무드,氛圍,word,명사,,mudeu,외래어 mood。무드 있다＝有氣氛。與已收的 감성 常一起用,조명 하나로 무드가 달라져요.,一盞燈氛圍就不一樣了。,"生活,個性"
여백,留白,word,명사,餘白,yeobaek,漢字是「餘白」而非「留白」。設計與生活都用：마음의 여백＝心裡的餘裕,여백이 있어야 예뻐 보여요.,要有留白才好看。,"學習,個性"
폰트,字型,word,명사,,ponteu,외래어 font。漢字詞說法是 서체（書體）,이 폰트 어디서 받았어요?,這個字型在哪裡下載的？,"學習,物品"
스티커,貼紙,word,명사,,seutikeo,외래어 sticker。다꾸（다이어리 꾸미기＝裝飾手帳）必備,스티커를 잔뜩 사 왔어요.,買了一堆貼紙回來。,"物品,購物"
다이어리,手帳,word,명사,,daieori,외래어 diary，但韓語指的是「手帳本」這個物品。★ 寫的內容叫 일기，兩個不一樣,다이어리 꾸미는 게 취미예요.,裝飾手帳是我的興趣。,"物品,生活"
팝업스토어,快閃店,word,명사,,pabeopseutoeo,외래어 pop-up store。口語縮成 팝업。韓國品牌與偶像周邊的主要通路,이번 주말에 팝업스토어 가요.,這週末要去快閃店。,"購物,場所"
포장,包裝,word,명사,包裝,pojang,漢字「包裝」。也指外帶：포장해 주세요＝我要外帶,포장이 예뻐서 못 버리겠어요.,包裝太漂亮捨不得丟。,"購物,物品"
한정판,限定版,word,명사,限定版,hanjeongpan,漢字「限定版」。追星與周邊圈的高頻詞,한정판이라 금방 품절됐어요.,因為是限定版，很快就賣完了。,"購物,追星"
품절,售罄,word,명사,品切,pumjeol,漢字是「品切」而非「售罄」，與日語相同。품절되다＝賣完了,벌써 품절이에요.,已經賣完了。,購物
홈카페,居家咖啡,word,명사,,homkape,home + 카페 的混合詞。在家自己做咖啡與甜點的風潮,요즘 홈카페에 빠졌어요.,最近迷上了在家做咖啡。,"療癒,生活"
