ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
만리,萬里,malli,萬里,單字,명사,,,★ 流音化：ㄴ + ㄹ → ㄹㄹ，讀 [말리],流音化
난로,暖爐,nallo,暖爐,單字,명사,,,流音化：讀 [날로],流音化
신라,新羅,silla,新羅,單字,명사,,,古代王國。流音化：讀 [실라]。羅馬字 Silla,流音化
분류,分類,bullyu,分類,單字,명사,,,流音化：讀 [불류],流音化
설날,春節,seollal,,單字,명사,,,★ 固有語複合詞：설（歲首、新年）+ 날（日子）。流音化 ㄹ + ㄴ → ㄹㄹ，讀 [설랄]。韓國農曆新年,節日
설,歲首,seol,,單字,명사,,,固有語；指農曆新年。설 쇠다＝過年,節日
날,日子,nal,,單字,명사,,,固有語；已收的 어버이날、어린이날 都用它,時間
일년,一年,illyeon,一年,單字,명사,,,流音化：ㄹ + ㄴ → ㄹㄹ，讀 [일련],時間
실내,室內,sillae,室內,單字,명사,,,流音化：讀 [실래]。室外是 실외（室外）,場所
실눈,瞇眼,sillun,,單字,명사,,,固有語：실（線、細絲）+ 눈（眼）＝細如線的眼。流音化讀 [실룬],身體
