ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
리본,蝴蝶結,ribon,,單字,명사,,,外來語 ribbon,物品
라디오,收音機,radio,,單字,명사,,,外來語 radio,家電
러시아,俄羅斯,reosia,,單字,명사,,,國名 Russia,國家
리허설,彩排,riheoseol,,單字,명사,,,外來語 rehearsal,活動
리조트,度假村,rijoteu,,單字,명사,,,外來語 resort,場所
로션,乳液,rosyeon,,單字,명사,,,外來語 lotion,美妝
리필,續杯,ripil,,單字,명사,리필 되나요?,可以續杯嗎？,外來語 refill；咖啡店常用,用餐
레스토랑,西餐廳,reseutorang,,單字,명사,,,外來語 restaurant（源自法語）；韓式餐館是 식당（食堂）,場所
씹다,無視,ssipda,,單字,동사,,,原意是「嚼」，網路用語引申為「無視訊息、不回覆」,網路用語
읽씹하다,已讀不回,ikssiphada,,單字,동사,,,읽다（讀）+ 씹다（無視）。指看了訊息卻不回,網路用語
읽씹당하다,被已讀不回,ikssipdanghada,읽씹當하다,單字,동사,,,★ -당하다（當하다）是被動／受害後綴：읽씹하다（我不回）→ 읽씹당하다（我被不回）。同樣用法如 무시당하다（被無視）、사기당하다（被詐騙）,網路用語
