ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
여보,老公／老婆,yeobo,,單字,감탄사,,,已婚夫妻間的互稱，不分性別。未婚情侶不用,稱謂
여성,女性,yeoseong,女性,單字,명사,,,正式用語；口語多說 여자,身分
여행하다,旅行,yeohaenghada,旅行하다,單字,동사,한국에 여행하고 싶어요.,我想去韓國旅行。,名詞形是 여행（旅行）,活動
연기하다,演戲,yeongihada,演技하다,單字,동사,,,漢字是「演技」；另有同形詞 연기（延期）,職業
여동생,妹妹,yeodongsaeng,女同生,單字,명사,,,女+동생；弟弟是 남동생（男同生）,家庭
여우,狐狸,yeou,,單字,명사,,,也用來形容心機重、會撒嬌的女生,動物
여권,護照,yeogwon,旅券,單字,명사,여권을 보여 주세요.,請出示護照。,漢字是「旅券」而非「護照」,旅行
여자친구,女朋友,yeojachingu,女子親舊,單字,명사,,,口語縮成 여친；男朋友是 남자친구／남친,稱謂
여름,夏天,yeoreum,,單字,명사,여름이 더워요.,夏天很熱。,,季節
열정페이,熱情 pay,yeoljeong-pei,熱情pay,單字,명사,,,社會用語：以「有熱情就好」為由付極低薪資，近似「用愛發電」,社會
