ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
사일,4號,sail,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
오일,5號,oil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
육일,6號,yugil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
칠일,7號,chiril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
팔일,8號,paril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
구일,9號,guil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십일,10號,sibil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십일일,11號,sibiril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십이일,12號,sibiil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십삼일,13號,sipsamil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십사일,14號,sipsail,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십오일,15號,siboil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십칠일,17號,sipchiril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십팔일,18號,sipparil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
십구일,19號,sipguil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십일,20號,isibil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십일일,21號,isibiril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십이일,22號,isibiil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십삼일,23號,isipsamil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십사일,24號,isipsail,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십오일,25號,isiboil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십칠일,27號,isipchiril,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십팔일,28號,isipparil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
이십구일,29號,isipguil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
삼십일,30號,samsibil,,單字,명사,,,日期用「漢字數詞 + 일（日）」,日期
