ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
애인,情人,aein,愛人,單字,명사,애인이 있어요?,你有對象嗎？,★ 假朋友：漢字雖是「愛人」，韓語指男女朋友（未婚），不是中文的「配偶」。配偶是 배우자（配偶者）,稱謂
애교,撒嬌,aegyo,愛嬌,單字,명사,애교가 많아요.,很會撒嬌。,漢字「愛嬌」；韓國文化中的重要概念,個性
앵두,櫻桃,aengdu,櫻桃,單字,명사,,,指較小的毛櫻桃；一般進口櫻桃說 체리（cherry）,食物
애매하다,模稜兩可,aemaehada,曖昧하다,單字,형용사,대답이 애매해요.,回答很含糊。,★ 假朋友：漢字是「曖昧」但韓語只表「含糊、不明確」，沒有中文的男女曖昧義。那個要說 썸 타다,形容
앨범,相冊,aelbeom,,單字,명사,,,外來語 album；也指音樂專輯,生活
애완동물,寵物,aewandongmul,愛玩動物,單字,명사,,,漢字「愛玩動物」。現今多改說 반려동물（伴侶動物），애완 被認為把動物當玩物,動物
애정,愛情,aejeong,愛情,單字,명사,,,漢字「愛情」；也用於對事物的熱愛,情感
애창곡,最愛唱的歌,aechanggok,愛唱曲,單字,명사,,,漢字「愛唱曲」，指自己的拿手歌,音樂
애플파이,蘋果派,aepeulpai,,單字,명사,,,外來語 apple pie,食物
노잼,無聊,nojaem,,單字,명사,,,網路縮語：no + 재미（趣味）。相反是 꿀잼（꿀＝蜂蜜，指非常有趣）,網路用語
