ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
워싱턴,華盛頓,wosingteon,,單字,명사,,,外來語 Washington,地理
샤워,淋浴,syawo,,單字,명사,샤워를 해요.,沖澡。,外來語 shower；動詞是 샤워하다,生活
권총,手槍,gwonchong,拳銃,單字,명사,,,漢字「拳銃」而非「手槍」，與日語相同,物品
워터파크,水上樂園,woteopakeu,,單字,명사,,,外來語 water park,場所
원망하다,怨恨,wonmanghada,怨望하다,單字,동사,,,漢字是「怨望」而非「怨恨」；韓語指埋怨、責怪,情感
원숭이,猴子,wonsungi,,單字,명사,,,固有語,動物
월요일,星期一,woryoil,月曜日,單字,명사,월요일에 만나요.,星期一見。,★ 韓語星期用「月火水木金土日」：월(月)·화(火)·수(水)·목(木)·금(金)·토(土)·일(日)요일。記住漢字就全會了,時間
원주민,原住民,wonjumin,原住民,單字,명사,,,漢字「原住民」,社會
월급,薪水,wolgeup,月給,單字,명사,,,漢字「月給」；年薪是 연봉（年俸）,職場
넘사벽,無法超越的高牆,neomsabyeok,,單字,명사,,,網路縮語：넘을 수 없는 사차원의 벽（無法跨越的四次元之壁），形容差距大到追不上,網路用語
