ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
까다,剝,kkada,,單字,동사,귤을 까요.,剝橘子。,固有語；剝殼、剝皮都用它,動詞
꾀병,裝病,kkoebyeong,꾀病,單字,명사,,,꾀（心眼、詭計，固有語）+ 병（病，漢字）的混合詞,健康
꼬마,小鬼,kkoma,,單字,명사,,,固有語；對小孩的親暱稱呼,稱謂
끄다,關,kkeuda,,單字,동사,불을 꺼요.,關燈。,固有語；開是 켜다,動詞
꿀,蜂蜜,kkul,,單字,명사,,,固有語；網路上當「超讚」的前綴（꿀잼、꿀팁）,食物
깨,芝麻,kkae,,單字,명사,,,固有語,食物
깨다,醒／打破,kkaeda,,單字,동사,잠이 깼어요.,睡醒了。,★ 同形詞：醒來、打破。也指打破紀錄,動詞
깨지다,破掉,kkaejida,,單字,동사,,,★ 깨다（主動打破）的被動形。-지다 是常見的被動後綴，與已收的 -당하다 是不同路徑,動詞
시끄럽다,吵鬧,sikkeureopda,,單字,형용사,,,固有語；ㅂ 不規則：시끄러워요,形容
꿀잼,超有趣,kkuljaem,,單字,명사,,,網路縮語：꿀（蜂蜜）+ 잼（재미＝趣味）。與已收的 노잼（無聊）正好相反,網路用語
꼬치,肉串,kkochi,,單字,명사,,,固有語,食物
