ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
아이스 아메리카노 한 잔 주세요.,一杯冰美式。,sentence,,,aiseu amerikano han jan juseyo,對話 A｜咖啡廳點餐｜★ 韓國人點單就這樣講，不必說「저는…을 마시고 싶어요」。口語常縮成 아아,,,"場所,口語,生活"
사이즈는 어떻게 해 드릴까요?,要什麼尺寸呢？,sentence,,,saijeuneun eotteoke hae deurilkkayo,對話 B｜咖啡廳點餐｜-아/어 드리다＝為您做…（謙讓）。服務業對客人的標準說法,,,"場所,口語,生活"
톨 사이즈로 할게요.,我要中杯。,sentence,,,tol saijeuro halgeyo,對話 A｜咖啡廳點餐｜-로 할게요＝我選…。點餐、挑東西時最好用的一句,,,"場所,口語,生活"
"드시고 가세요, 포장이세요?",內用還是外帶？,sentence,,,deusigo gaseyo pojangiseyo,對話 B｜咖啡廳點餐｜★ 드시다 是 먹다 的敬語。포장＝外帶（與已收的「包裝」同一個詞）,,,"場所,口語,生活"
여기서 먹고 갈게요.,我在這裡喝。,sentence,,,yeogiseo meokgo galgeyo,對話 A｜咖啡廳點餐｜여기서＝여기에서 的縮寫，口語幾乎都縮,,,"場所,口語,生活"
"야, 뉴진스 신곡 들었어?",欸，你聽新歌了嗎？,sentence,,,ya nyujinseu singok deureosseo,對話 A｜聊新歌｜★ 야 是叫住朋友的招呼，只能對很熟的同輩用。들었어? 是 들었어요? 的半語,,,"追星,口語"
당연하지! 완전 내 취향이야.,當然聽了！完全是我的菜。,sentence,,,dangyeonhaji wanjeon nae chwihyangiya,對話 B｜聊新歌｜당연하지＝當然啦。-이야 是 -이에요 的半語,,,"追星,口語"
나 이번 앨범 계속 무한반복 중이야.,我這張專輯一直單曲循環。,sentence,,,na ibeon aelbeom gyesok muhanbanbok jungiya,對話 A｜聊新歌｜무한반복（無限反復）＝一直重播。-는 중이다＝正在…,,,"追星,口語"
해린 파트 진짜 미쳤더라.,海林那段真的太絕了。,sentence,,,haerin pateu jinjja michyeotdeora,對話 B｜聊新歌｜★ -더라 是半語的「我發現」，敬語是 -더라고요,,,"追星,口語"
"그치, 나도 거기서 심쿵했어.",對啊，我也在那裡心動了。,sentence,,,geuchi nado geogiseo simkunghaesseo,對話 A｜聊新歌｜그치＝對吧（그렇지 的縮寫）。나도＝我也是,,,"追星,口語"
이 굿즈 아직 있어요?,這個周邊還有嗎？,sentence,,,i gutjeu ajik isseoyo,對話 A｜買周邊｜아직＝還。問庫存最直接的說法,,,"購物,追星,口語"
"죄송해요, 그건 품절이에요.",抱歉，那個賣完了。,sentence,,,joesonghaeyo geugeon pumjeorieyo,對話 B｜買周邊｜그건＝그것은 的縮寫。品切（품절）＝售罄,,,"購物,口語"
"헐, 아쉽다. 재입고 되나요?",傻眼，好可惜。會再進貨嗎？,sentence,,,heol aswipda jaeipgo doenayo,對話 A｜買周邊｜★ 아쉽다＝可惜（半語自語）。재입고（再入庫）＝補貨,,,"購物,口語,情緒"
다음 주에 들어올 것 같아요.,下週應該會到。,sentence,,,daeum jue deureool geot gatayo,對話 B｜買周邊｜-ㄹ 것 같아요＝應該…吧。韓國人不把話說死，這是最常用的緩衝,,,"購物,口語"
그럼 그때 다시 올게요.,那我到時候再來。,sentence,,,geureom geuttae dasi olgeyo,對話 A｜買周邊｜그럼＝那麼（그러면 的縮寫）。-ㄹ게요＝我會…（對聽者的承諾）,,,"購物,口語"
주말에 뭐 했어?,週末做了什麼？,sentence,,,jumare mwo haesseo,對話 A｜聊週末｜★ 助詞省略是口語常態：뭐를 했어? → 뭐 했어?,,,"生活,口語"
나 하루 종일 방 정리했어.,我整天都在整理房間。,sentence,,,na haru jongil bang jeongnihaesseo,對話 B｜聊週末｜하루 종일＝一整天。종일（終日）是漢字詞,,,"生活,口語"
"헐, 대단하다. 안 힘들었어?",傻眼，好厲害。不累嗎？,sentence,,,heol daedanhada an himdeureosseo,對話 A｜聊週末｜안 + 動詞＝否定，比 -지 않다 口語,,,"生活,口語,情緒"
