ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
따르다,跟隨,ttareuda,,單字,동사,,,★ 同形詞：①跟隨、遵從 ②倒（물을 따르다＝倒水）。르 不規則：따라요,動詞
떠나다,離開,tteonada,,單字,동사,여자친구가 떠났어요.,女朋友離開了。,固有語,動詞
따사하다,和煦,ttasahada,,單字,형용사,,,固有語，形容陽光溫暖。日常更常說 따뜻하다 或 따스하다,形容
떠들다,喧鬧,tteodeulda,,單字,동사,,,固有語；比 시끄럽다（形容詞）多了主動製造噪音的意思,動詞
뚜껑,蓋子,ttukkeong,,單字,명사,,,固有語,物品
딱풀,口紅膠,ttakpul,,單字,명사,,,原為品牌名，後成為通稱（如同「立可白」）。풀＝膠水,文具
뜨겁다,燙,tteugeopda,,單字,형용사,,,ㅂ 不規則：뜨거워요。溫熱是 따뜻하다,形容
딸기,草莓,ttalgi,,單字,명사,,,固有語,食物
똑바로,直直地,ttokbaro,,單字,부사,똑바로 가세요.,請直走。,固有語；也指「端正、好好地」（똑바로 앉아）,方位
갈비,排骨,galbi,,單字,명사,,,★ 同形：①排骨（固有語，갈비탕＝排骨湯）②網路縮語 갈수록 비호감（越看越不順眼）,食物
떡볶이,辣炒年糕,tteokbokki,,單字,명사,,,固有語；떡（年糕）+ 볶이（炒）。韓國最具代表性的街頭小吃,食物
