ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
야수,野獸,yasu,野獸,單字,명사,,,棒球場上另有「야수＝野手」的用法,動物
야구,棒球,yagu,野球,單字,명사,야구를 해요.,打棒球。,漢字是「野球」，與日文相同,運動
야근하다,加班,yageunhada,夜勤하다,單字,동사,오늘 야근해요.,今天要加班。,漢字「夜勤」＝夜間工作,職場
야망,野心,yamang,野望,單字,명사,,,漢字是「野望」而非「野心」,個性
약속,約定,yaksok,約束,單字,명사,약속이 있어요.,我有約。,漢字「約束」在韓語意為約定，與中文不同,社交
야시장,夜市,yasijang,夜市場,單字,명사,,,漢字「夜市場」,場所
야식,宵夜,yasik,夜食,單字,명사,,,漢字「夜食」,食物
야외,郊外,yaoe,野外,單字,명사,,,漢字「野外」，也指戶外,場所
야자,椰子,yaja,椰子,單字,명사,,,學生俚語中另指「야간자율학습（晚自習）」,食物
복세편살,在複雜的世界裡輕鬆地活,bokse-pyeonsal,,單字,명사,,,網路縮語，完整形為 복잡한 세상 편하게 살자,網路用語
