ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
타다,搭乘,tada,,單字,동사,버스를 타요.,搭公車。,★ 固有語多義詞：①搭乘（버스를 타다）②燃燒（불이 타다）③沖泡（커피를 타다）④得獎（상을 타다）。全靠上下文,交通
토끼,兔子,tokki,,單字,명사,,,固有語,動物
타이베이,台北,taibei,,單字,명사,,,現行標準寫法採華語音譯；舊譯 대북（臺北）已少用,地理
투어,旅遊,tueo,,單字,명사,,,外來語 tour,旅行
토마토,番茄,tomato,,單字,명사,,,外來語 tomato,食物
투수,投手,tusu,投手,單字,명사,,,漢字「投手」；棒球用語，與已收的 야구（野球）同組,運動
투표하다,投票,tupyohada,投票하다,單字,동사,,,漢字「投票」。與 투수 共用「投」字,社會
티라미수,提拉米蘇,tiramisu,,單字,명사,,,外來語 tiramisu,食物
티슈,面紙,tisyu,,單字,명사,,,外來語 tissue；也說 휴지（休紙）,生活
다이어트는 내일부터,減肥明天再說,daieoteuneun naeilbuteo,,詞組,표현,,,網路梗：吃東西時的自我安慰。부터＝從…開始；與已收的「맛있으면 0칼로리」同一類,網路用語
