ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
다리,腿／橋,dari,,單字,명사,다리가 아파요.,腿痛。,★ 同形詞，兩個都是固有語：다리＝腿，也＝橋（한강 다리）。靠上下文分辨,身體
도시,城市,dosi,都市,單字,명사,,,漢字「都市」；鄉下是 시골（固有語）,場所
다투다,吵架,datuda,,單字,동사,,,固有語；語氣比 싸우다（打架、吵架）輕,情緒
도와주다,幫忙,dowajuda,,單字,동사,좀 도와주세요.,請幫我一下。,돕다（幫）+ -아 주다（為對方做）。ㅂ 不規則：돕다 → 도와,溝通
다리미,熨斗,darimi,,單字,명사,,,固有語：다리다（熨燙）+ -미。動詞是 다림질하다,家電
드라이기,吹風機,deuraigi,,單字,명사,,,外來語 dry + 기；也說 헤어드라이어,家電
도보,徒步,dobo,徒步,單字,명사,,,漢字「徒步」；도보 5분＝步行五分鐘,交通
드레스,禮服,deureseu,,單字,명사,,,外來語 dress,服裝
두부,豆腐,dubu,豆腐,單字,명사,,,漢字「豆腐」,食物
고답이,悶葫蘆,godabi,,單字,명사,,,網路縮語：고구마 100개 먹은 것처럼 답답한 사람。承接韓國人用「吃地瓜噎住」比喻鬱悶的說法,網路用語
