ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
왠지,不知怎麼地,waenji,,單字,부사,왠지 슬퍼요.,不知怎麼地覺得難過。,★ 韓國人也常寫錯：왠지＝왜인지（為何），只有這個詞用 왠；其他一律用 웬（웬일、웬만하면）,副詞
쾌속,快速,kwaesok,快速,單字,명사,,,漢字「快速」,形容
괜찮다,沒關係,gwaenchanta,,單字,형용사,괜찮아요.,沒關係。,詞源有爭議，不標漢字。兼表「沒事、還不錯、不用了」三種語氣,形容
돼지,豬,dwaeji,,單字,명사,,,,動物
돼지꿈,夢到豬,dwaejikkum,,單字,명사,,,韓國視為財運夢；夢到豬的人常會去買樂透,文化
쇄골,鎖骨,swaegol,鎖骨,單字,명사,,,漢字「鎖骨」,身體
인쇄,印刷,inswae,印刷,單字,명사,,,漢字「印刷」。與 쇄골 的「쇄」同音不同字：鎖 vs 刷,產業
왜냐하면,因為,waenyahamyeon,,單字,부사,,,回答 왜（為什麼）的固定搭配，句尾常配 -기 때문이다,溝通
괘종시계,掛鐘,gwaejongsigye,掛鐘時計,單字,명사,,,漢字「掛鐘時計」；시계（時計）＝鐘錶,家居
빼박캔트,鐵證如山,ppaebakkaenteu,,單字,명사,,,網路縮語：빼도 박도 못하다（拔不出也釘不進＝進退兩難）+ can't。現今多用來說「確定無疑、跑不掉」,網路用語
