ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
우리,我們,uri,,單字,대명사,우리 같이 가요.,我們一起去吧。,韓語習慣用「我們」代替「我的」：우리 엄마（我媽）、우리 나라（我國）,基礎
우동,烏龍麵,udong,,單字,명사,,,外來語，源自日語 うどん,食物
우연히,偶然地,uyeonhi,偶然히,單字,부사,우연히 만났어요.,偶然遇到了。,漢字「偶然」；名詞形 우연,副詞
우주,宇宙,uju,宇宙,單字,명사,,,漢字「宇宙」,科學
우수하다,優秀,usuhada,優秀하다,單字,형용사,성적이 우수해요.,成績優秀。,漢字「優秀」,形容
우산,雨傘,usan,雨傘,單字,명사,우산을 가져가세요.,帶把傘去吧。,漢字「雨傘」,生活
우유,牛奶,uyu,牛乳,單字,명사,우유를 마셔요.,喝牛奶。,漢字「牛乳」而非「牛奶」,食物
우체국,郵局,ucheguk,郵遞局,單字,명사,,,漢字「郵遞局」；郵票是 우표（郵票）,場所
우정,友情,ujeong,友情,單字,명사,,,漢字「友情」,情感
장미단추,遠看美近看醜,jangmi-danchu,長美短醜,單字,명사,,,網路縮語：장거리 미인 단거리 추녀（遠距離美女、近距離醜女）。評論外貌，對人不宜使用,網路用語
