ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
힐링,療癒,word,명사,治癒·休息,hilling,외래어 healing。韓國把它用成生活風格詞：힐링 여행、힐링 음식,요즘은 혼자 있는 시간이 제일 힐링이에요.,最近一個人的時間最療癒。,"療癒,生活"
위로,安慰,word,명사,慰勞,wiro,漢字是「慰勞」而非「安慰」。動詞是 위로하다,그 노래가 큰 위로가 됐어요.,那首歌給了我很大的安慰。,"療癒,情緒"
여유,從容,word,명사,餘裕,yeoyu,漢字「餘裕」。指時間、金錢或心境上的餘地 —— 여유가 없다＝沒有餘裕,요즘은 마음의 여유가 좀 생겼어요.,最近心裡多了一點餘裕。,"療癒,生活"
설레다,悸動,word,동사,,seolleda,期待到心跳加快，正面的緊張。名詞形 설렘。與 심쿵하다 語感相近但更持續,내일 생각하면 벌써 설레요.,一想到明天就已經開始悸動了。,情緒
다정하다,體貼,word,형용사,多情하다,dajeonghada,漢字是「多情」，但韓語沒有中文那種輕浮語感，就是溫柔體貼,그 사람은 말투가 참 다정해요.,那個人講話很溫柔。,"情緒,個性"
소소하다,微小而美好,word,형용사,,sosohada,形容日常裡不起眼卻讓人開心的小事。소소한 행복＝小確幸,소소한 행복이 제일 오래가요.,小小的幸福最持久。,"療癒,生活"
혼자,獨自,word,명사,,honja,固有語，沒有漢字詞源。혼밥（一個人吃飯）、혼술（一個人喝酒）都由它來,가끔은 혼자 카페에 가요.,偶爾會一個人去咖啡廳。,生活
카페,咖啡廳,word,명사,,kape,외래어 café。카페 투어＝咖啡廳巡禮，韓國很流行,분위기 좋은 카페를 찾았어요.,找到一家氣氛很好的咖啡廳。,"場所,生活"
산책,散步,word,명사,散策,sanchaek,漢字是「散策」而非「散步」。動詞是 산책하다,저녁마다 동네를 산책해요.,每天傍晚在附近散步。,"生活,運動"
취향,喜好,word,명사,趣向,chwihyang,漢字「趣向」。취향 저격＝正中我的喜好，稱讚時常用,이 노래 완전 제 취향이에요.,這首歌完全是我的菜。,"個性,生活"
취미,興趣,word,명사,趣味,chwimi,漢字「趣味」。問人興趣：취미가 뭐예요?,취미로 사진을 찍고 있어요.,把攝影當興趣在拍。,"自我介紹,生活"
작품,作品,word,명사,作品,jakpum,漢字「作品」，與中文相同,따뜻한 작품을 만들고 싶어요.,想做出溫暖人心的作品。,"學習,職業"
영감,靈感,word,명사,靈感,yeonggam,漢字「靈感」。영감을 받다＝得到靈感、영감을 주다＝給人靈感,산책하다가 영감을 받았어요.,散步的時候得到了靈感。,學習
일기,日記,word,명사,日記,ilgi,漢字「日記」。일기를 쓰다＝寫日記,요즘 한국어로 일기를 써요.,最近用韓文寫日記。,"學習,生活"
글,文章,word,명사,,geul,固有語，沒有漢字詞源。글을 쓰다＝寫文章；作家是 글쓴이 或 작가,따뜻한 글을 쓰고 싶어요.,想寫出溫暖的文字。,學習
최애,最愛的那位,word,명사,最愛,choeae,漢字「最愛」。追星圈用語，指最喜歡的成員。第二喜歡的是 차애（次愛）,제 최애는 이 멤버예요.,我最喜歡的是這位成員。,"網路用語,娛樂"
덕질,追星,word,명사,,deokjil,오타쿠（御宅）韓化成 덕후，再加 -질（做某事）。덕질하다＝追星,요즘 덕질하는 재미로 살아요.,最近靠追星的樂趣過日子。,"網路用語,娛樂"
컴백,回歸,word,명사,,keombaek,외래어 comeback。指歌手發新專輯回到舞台，不是「回來」的意思,다음 달에 컴백한대요.,聽說下個月要回歸。,娛樂
가사,歌詞,word,명사,歌詞,gasa,漢字「歌詞」。同音詞很多：가사（家事）、가사（假死）,가사를 보면서 노래를 들어요.,邊看歌詞邊聽歌。,"娛樂,學習"
응원,應援,word,명사,應援,eungwon,漢字「應援」。응원하다＝支持、加油。응원봉＝應援手燈,언제나 응원할게요.,我會一直支持你。,"娛樂,回應"
