ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
원피스,洋裝,word,명사,,wonpiseu,외래어 one-piece。★ 韓語不用 dress 這個字，連身裙一律 원피스,이 원피스 색깔이 예뻐요.,這件洋裝的顏色很漂亮。,"服裝,購物"
치마,裙子,word,명사,,chima,固有語。외래어 스커트 也通，但日常說 치마 更多,짧은 치마보다 긴 치마가 좋아요.,比起短裙我更喜歡長裙。,服裝
셋업,套裝,word,명사,,seseop,외래어 set-up。上下成套的搭配，韓國服飾網站的固定分類,셋업으로 입으면 편해요.,穿成套的很方便。,"服裝,購物"
니트,針織,word,명사,,niteu,외래어 knit。指針織衣物本身，不是「編織」這個動作,얇은 니트 하나 사고 싶어요.,想買一件薄針織。,"服裝,購物"
가디건,開襟衫,word,명사,,gadigeon,외래어 cardigan。韓語拼作 가디건，不是 카디건,가디건을 걸치고 나갔어요.,披了件開襟衫出門。,服裝
블라우스,襯衫（女）,word,명사,,beullauseu,외래어 blouse。男襯衫是 셔츠，兩個分開說,블라우스에 프릴이 달려 있어요.,襯衫上有荷葉邊。,服裝
맨투맨,大學T,word,명사,,maentumaen,★ 韓國自製的英語詞（man-to-man），英語圈不這樣說。指圓領長袖衛衣；連帽的是 후드,맨투맨 하나면 어디든 갈 수 있어요.,一件大學T哪裡都能去。,服裝
프릴,荷葉邊,word,명사,,peuril,외래어 frill。這種甜美風格的招牌細節,소매에 프릴이 있는 게 마음에 들어요.,我喜歡袖口有荷葉邊的。,"服裝,個性"
레이스,蕾絲,word,명사,,reiseu,외래어 lace。레이스가 달리다＝綴有蕾絲,레이스가 너무 과하지 않아서 좋아요.,蕾絲不會太誇張，很好。,"服裝,個性"
자수,刺繡,word,명사,刺繡,jasu,漢字「刺繡」。자수가 놓이다＝繡上圖案,가슴에 작은 자수가 있어요.,胸前有個小刺繡。,"服裝,個性"
주름,褶,word,명사,,jureum,固有語。兼指衣服的褶子與臉上的皺紋。百褶裙是 주름치마,주름치마는 활동하기 편해요.,百褶裙活動起來很方便。,服裝
핏,版型,word,명사,,pit,외래어 fit。오버핏＝寬鬆版、슬림핏＝合身版,핏이 생각보다 잘 나왔어요.,版型比想像中好。,"服裝,購物"
오버핏,寬版,word,명사,,obeopit,외래어 over-fit，韓國自製組合。故意大一號的寬鬆剪裁,오버핏이라 한 사이즈 작게 샀어요.,因為是寬版，買小一號。,"服裝,購物"
크롭,短版,word,명사,,keurop,외래어 crop。크롭탑＝短版上衣，露出腰線的長度,크롭이라 길이가 좀 짧아요.,是短版，長度有點短。,服裝
코디,穿搭,word,명사,,kodi,코디네이션（coordination）的縮語。코디하다＝搭配衣服,이 옷 어떻게 코디해요?,這件衣服怎麼搭？,"服裝,個性"
여리여리하다,輕盈柔美,word,형용사,,yeoriyeorihada,固有語疊詞，形容纖細柔軟、看起來輕飄飄的感覺。誇這種風格最貼切的一個字,여리여리한 느낌이 이 브랜드 매력이에요.,輕盈柔美就是這個品牌的魅力。,"服裝,個性"
착용샷,上身照,word,명사,著用샷,chagyongsyat,착용（著用）+ shot 的混合詞。買衣服前必看的實穿照,착용샷 보고 사이즈 정했어요.,看了上身照才決定尺寸。,"購物,服裝"
재입고,補貨,word,명사,再入庫,jaeipgo,漢字是「再入庫」而非「補貨」。재입고 알림＝補貨通知,재입고 알림 신청해 뒀어요.,已經申請了補貨通知。,購物
컬래버,聯名,word,명사,,keollaebeo,외래어 collaboration 的縮語，也常寫 콜라보。韓國品牌與角色 IP 聯名很常見,산리오랑 컬래버한 옷이 나왔어요.,出了跟三麗鷗聯名的衣服。,"購物,娛樂"
품절 임박,即將售罄,phrase,명사구,品切臨迫,pumjeol imbak,漢字「品切臨迫」。網購頁面的緊迫提示,품절 임박이라고 떠 있어요.,上面顯示即將售罄。,購物
배송비,運費,word,명사,配送費,baesongbi,漢字「配送費」。무료배송＝免運,배송비가 따로 붙어요.,運費要另外算。,購物
입어 보다,試穿,phrase,동사구,,ibeo boda,-아/어 보다＝試著做。買衣服前必問：입어 봐도 돼요?,이거 입어 봐도 돼요?,這個可以試穿嗎？,"服裝,購物"
