ko,zh,type,pos,hanja,romanization,note,example_ko,example_zh,tags
밥 잘 챙겨 먹어요.,要好好吃飯喔。,sentence,,,bap jal chaenggyeo meogeoyo,偶像對粉絲最常說的一句。챙기다＝細心照顧到。★ 這是日常關心話，對朋友家人一樣能用,,,"溫暖,關心"
무리하지 마세요.,別太勉強自己。,sentence,,,murihaji maseyo,무리하다（無理하다）＝勉強、逞強。看到對方太累時說。半語是 무리하지 마,,,"溫暖,關心"
푹 쉬어요.,好好休息。,sentence,,,puk swieoyo,푹＝充分地、徹底地。푹 자다＝睡得很沉。比 쉬세요 更有「別再撐了」的心疼感,,,"溫暖,關心"
감기 조심하세요.,小心別感冒。,sentence,,,gamgi josimhaseyo,換季時的固定問候，等於中文的「注意保暖」,,,"溫暖,關心"
오늘도 고생 많았어요.,今天也辛苦了。,sentence,,,oneuldo gosaeng manasseoyo,고생（苦生）＝辛苦。★ 對長輩要用 고생 많으셨습니다，這句只能對平輩或晚輩,,,"溫暖,關心"
좋은 꿈 꿔요.,做個好夢。,sentence,,,joeun kkum kkwoyo,꿈을 꾸다＝做夢。睡前訊息的收尾句，比 잘 자요 更溫柔,,,"溫暖,問候"
건강이 제일이에요.,健康最重要。,sentence,,,geongangi jeirieyo,제일（第一）＝最。勸人保重時的固定說法,,,"溫暖,關心"
여러분 덕분이에요.,都是多虧了大家。,sentence,,,yeoreobun deokbunieyo,덕분에／덕분이다＝多虧。★ 韓國人把功勞歸給對方是禮貌，不是客套,,,"溫暖,回應"
항상 곁에 있어 줘서 고마워요.,謝謝你一直在身邊。,sentence,,,hangsang gyeote isseo jwoseo gomawoyo,곁＝身邊（比 옆 更有情感）。-아/어 줘서 고마워요＝謝謝你為我做了…，最常用的道謝句型,,,"溫暖,回應"
우리 오래 보자.,我們要長長久久。,sentence,,,uri orae boja,字面是「我們長久地見面吧」，偶像對粉絲、朋友之間都常說。半語，親近的人才用,,,"溫暖,約定"
앞으로도 잘 부탁드려요.,今後也請多指教。,sentence,,,apeurodo jal butakdeuryeoyo,비즈니스與粉絲場合都通用的收尾句。드리다 是 주다 的謙讓語，對對方更客氣,,,"溫暖,問候"
여러분이 있어서 힘이 나요.,因為有大家，我才有力氣。,sentence,,,yeoreobuni isseoseo himi nayo,힘이 나다＝有了力氣、振作起來。相反是 힘이 빠지다,,,"溫暖,情緒"
잘하고 있어요.,你做得很好。,sentence,,,jalhago isseoyo,★ 不是「做得好」（잘했어요，評價已完成的事），而是「你正在好好地走」—— 對還在努力中的人說,,,"溫暖,回應"
천천히 해도 괜찮아요.,慢慢來也沒關係。,sentence,,,cheoncheonhi haedo gwaenchanayo,-아/어도 괜찮다＝就算…也沒關係。接住焦慮最好用的句型,,,"溫暖,回應"
행복했으면 좋겠어요.,希望你幸福。,sentence,,,haengbokhaesseumyeon jokesseoyo,-았/었으면 좋겠다＝希望…。★ 動詞用過去形但講的是未來的願望，這是韓語特有的講法,,,"溫暖,回應"
오늘 하루도 수고했어요.,今天一天也辛苦了。,sentence,,,oneul harudo sugohaesseoyo,수고하다＝辛勞。★ 只能對平輩或晚輩；對長輩用 고생 많으셨습니다,,,"溫暖,關心"
늘 응원하고 있어요.,我一直都在支持你。,sentence,,,neul eungwonhago isseoyo,늘＝總是（比 항상 口語）。留言最常見的一句,,,"追星,回應"
행복만 가득하길 바라요.,希望你只有滿滿的幸福。,sentence,,,haengbongman gadeukhagil barayo,가득하다＝滿滿的。-길 바라다＝祝願…。祝福語的固定句型,,,"追星,祝福"
꽃길만 걸어요.,只走開滿花的路。,sentence,,,kkotgilman georeoyo,祝福對方往後只有好事。★ 詞庫另收了半語版 꽃길만 걷자,,,"追星,祝福"
빛나는 사람이에요.,你是會發光的人。,sentence,,,binnaneun saramieyo,빛나다＝發光、閃耀。誇人存在本身很好時用,,,"追星,回應"
존재만으로 힘이 돼요.,光是存在就給了我力量。,sentence,,,jonjaemaneuro himi dwaeyo,존재（存在）+ -만으로＝光憑…就。粉絲最常用來表達的一種心情,,,"追星,情緒"
자랑스러워요.,我很以你為榮。,sentence,,,jarangseureowoyo,자랑스럽다＝值得誇耀的。看到對方成就時說，對朋友、家人一樣能用,,,"追星,情緒"
응원하다,支持,word,동사,,eungwonhada,응원（應援）+ 하다。體育賽事、考試、追星都用同一個詞,,,"溫暖,回應"
챙기다,照顧到,word,동사,,chaenggida,固有語。細心地顧到對方需要的東西。★ 챙겨 먹다＝好好吃飯、챙겨 주다＝替人打點,,,"溫暖,關心"
토닥토닥,拍拍,word,부사,,todaktodak,擬態語，輕拍背部安慰的動作與聲音。訊息裡直接打這四個字就等於「拍拍你」,,,"溫暖,療癒"
힘내요.,加油。,sentence,,,himnaeyo,힘을 내다＝拿出力氣。★ 對方已經很累時，比起 힘내요，說 푹 쉬어요 更貼心,,,"溫暖,回應"
