ko,zh,romanization,hanja,type,pos,example_ko,example_zh,note,tags
이유,理由,iyu,理由,單字,명사,이유가 뭐예요?,理由是什麼？,漢字「理由」,溝通
이모,阿姨,imo,姨母,單字,명사,,,漢字「姨母」＝媽媽的姊妹；爸爸的姊妹是 고모（姑母）。也用來親切稱呼餐館女性店員,家庭
이마,額頭,ima,,單字,명사,,,,身體
이사하다,搬家,isahada,移徙하다,單字,동사,다음 달에 이사해요.,下個月要搬家。,漢字「移徙」；名詞形 이사,生活
이상하다,奇怪,isanghada,異常하다,單字,형용사,좀 이상해요.,有點奇怪。,漢字「異常」,形容
이야기하다,聊天,iyagihada,,單字,동사,친구하고 이야기해요.,和朋友聊天。,이야기 是純韓語詞；口語常縮成 얘기,溝通
이모티콘,貼圖,imotikon,,單字,명사,,,外來語 emoticon；韓國泛指聊天貼圖、Emoji 與顏文字,網路
이불,被子,ibul,,單字,명사,,,,生活
이메일,電子郵件,imeil,,單字,명사,,,外來語 e-mail；也說 메일,網路
이불 밖은 위험해,被窩外面很危險,ibul bakkeun wiheomhae,이불 밖은 危險해,詞組,표현,,,網路流行語：待在被窩裡最安全，用來自嘲不想出門。위험（危險）是漢字詞,網路用語
